1,"Dragon",700,1000,100,"https://vignette.wikia.nocookie.net/tibia/images/e/e0/Dragon.gif/revision/latest?cb=20140823213526&path-prefix=en"
2,"Demon",600,8200,300,"https://vignette.wikia.nocookie.net/tibia/images/4/4a/Angry_Demon.gif/revision/latest?cb=20161207162835&path-prefix=en"
3,"Dragon Lord",2100,1900,245,"https://vignette.wikia.nocookie.net/tibia/images/9/97/Dragon_Lord.gif/revision/latest?cb=20150418105002&path-prefix=en"
4,"Wasp",10,35,0,"https://vignette.wikia.nocookie.net/tibia/images/d/d7/Wasp.gif/revision/latest?cb=20180226153605&path-prefix=en"
5,"Wolf",15,30,0,"https://vignette.wikia.nocookie.net/tibia/images/8/82/Wolf.gif/revision/latest?cb=20150418080112&path-prefix=en"
6,"Giant Spider",900,1300,200,"https://vignette.wikia.nocookie.net/tibia/images/a/a6/Giant_Spider_%28Wyda%29.gif/revision/latest?cb=20171219235650&path-prefix=en"
7,"Blue Djinn",330,330,120,"https://vignette.wikia.nocookie.net/tibia/images/8/82/Blue_Djinn.gif/revision/latest?cb=20171218210231&path-prefix=en"
8,"Green Djinn",410,550,140,"https://vignette.wikia.nocookie.net/tibia/images/d/de/Efreet.gif/revision/latest?cb=20070712030826&path-prefix=en"
9,"Behemoth",4000,2500,200,"https://vignette.wikia.nocookie.net/tibia/images/7/70/Behemoth.gif/revision/latest?cb=20080711145925&path-prefix=en"
10,"Beholder",200,350,100,"https://vignette.wikia.nocookie.net/tibia/images/d/d3/Bonelord.gif/revision/latest?cb=20171218205326&path-prefix=en"
11,"Tiger",50,100,0,"https://vignette.wikia.nocookie.net/tibia/images/c/ce/Tiger.gif/revision/latest?cb=20150418080056&path-prefix=en"
12,"Minotaur",50,100,15,"https://vignette.wikia.nocookie.net/tibia/images/9/95/Minotaur.gif/revision/latest?cb=20141110205934&path-prefix=en"
13,"Minotaur Warrior",110,300,20,"https://vignette.wikia.nocookie.net/tibia/images/e/e9/Minotaur_Guard.gif/revision/latest?cb=20070712032235&path-prefix=en"
14,"Minotaur Mage",130,200,30,"https://vignette.wikia.nocookie.net/tibia/images/f/f6/Minotaur_Mage.gif/revision/latest?cb=20141110205457&path-prefix=en"
15,"Monk",230,230,41,"https://vignette.wikia.nocookie.net/tibia/images/c/cc/Monk.gif/revision/latest?cb=20050601043300&path-prefix=en"
16,"Troll",25,50,10,"https://vignette.wikia.nocookie.net/tibia/images/f/fc/Island_Troll.gif/revision/latest?cb=20150418075739&path-prefix=en"
17,"Orc",25,50,5,"https://vignette.wikia.nocookie.net/tibia/images/2/21/Orc.gif/revision/latest?cb=20150418075826&path-prefix=en"
18,"Orc Warlard",670,950,45,"https://vignette.wikia.nocookie.net/tibia/images/4/44/Orc_Warlord.gif/revision/latest?cb=20070712031335&path-prefix=en"
19,"Orc Warrior",100,110,12,"https://vignette.wikia.nocookie.net/tibia/images/0/0e/Orc_Leader.gif/revision/latest?cb=20070712030519&path-prefix=en"
20,"Orc Berserker",195,210,30,"https://vignette.wikia.nocookie.net/tibia/images/1/16/Orc_Berserker.gif/revision/latest?cb=20141110202321&path-prefix=en"
21,"Elf",42,100,13,"https://vignette.wikia.nocookie.net/tibia/images/a/a8/Elf.gif/revision/latest?cb=20150418124626&path-prefix=en"
22,"Elf Arcanist",220,175,31,"https://vignette.wikia.nocookie.net/tibia/images/e/e8/Elf_Arcanist.gif/revision/latest?cb=20050531205624&path-prefix=en"
23,"Elf Scout",180,160,21,"https://vignette.wikia.nocookie.net/tibia/images/0/05/Elf_Scout.gif/revision/latest?cb=20050530000427&path-prefix=en"
24,"Imp",1950,2900,197,"https://vignette.wikia.nocookie.net/tibia/images/e/ea/Diabolic_Imp.gif/revision/latest?cb=20061212193932&path-prefix=en"
25,"Amazon",60,110,20,"https://vignette.wikia.nocookie.net/tibia/images/9/9c/Amazon.gif/revision/latest?cb=20180206145415&path-prefix=en"
26,"Witch",120,300,41,"https://vignette.wikia.nocookie.net/tibia/images/a/ae/Witch.gif/revision/latest?cb=20060327035711&path-prefix=en"
27,"Valkyrie",85,190,34,"https://vignette.wikia.nocookie.net/tibia/images/f/f5/Valkyrie.gif/revision/latest?cb=20180206145412&path-prefix=en"
28,"Warlock",400,3500,200,"https://vignette.wikia.nocookie.net/tibia/images/e/e0/Warlock.gif/revision/latest?cb=20180206145356&path-prefix=en"
29,"Scarab",120,320,52,"https://vignette.wikia.nocookie.net/tibia/images/e/e7/Scarab.gif/revision/latest?cb=20050501022729&path-prefix=en"
30,"Ancient Scarab",720,1000,140,"https://vignette.wikia.nocookie.net/tibia/images/2/2c/Ancient_Scarab.gif/revision/latest?cb=20070906223754&path-prefix=en"
31,"Kollos",5500,7500,200,"https://vignette.wikia.nocookie.net/tibia/images/b/bf/Kollos.gif/revision/latest?cb=20111217223042&path-prefix=en"
32,"Terramite",210,365,24,"https://vignette.wikia.nocookie.net/tibia/images/7/75/Terramite.gif/revision/latest?cb=20091201224724&path-prefix=en"
33,"Scorpion",30,50,0,"https://vignette.wikia.nocookie.net/tibia/images/f/f9/Scorpion.gif/revision/latest?cb=20050529042055&path-prefix=en"
34,"Tarantula",130,220,20,"https://vignette.wikia.nocookie.net/tibia/images/7/76/Sacred_Spider.gif/revision/latest?cb=20150422163922&path-prefix=en"
35,"Hydra",4500,2350,246,"https://vignette.wikia.nocookie.net/tibia/images/1/19/Hydra.gif/revision/latest?cb=20060323064833&path-prefix=en"